DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,Aid Contribution,Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs,"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage,"Total Damage, Adjusted ('000 US$)",CPI,Entry Date,Last Update
2000-0003-BGD,No,nat-met-ext-col,Natural,Meteorological,Extreme temperature,Cold wave,,,BGD,Bangladesh,Southern Asia,"Barisal, Chittagong, Dhaka, Khulna, Rajshahi, Rangpur, Sylhet provinces",,,No,No,No,,,°C,,,,2000,1.0,,2000,1.0,,49.0,,,,,,,,,,,56.51429055927763,2003-07-01,2023-09-25
2000-0005-CHN,No,tec-tra-roa-roa,Technological,Transport,Road,Road,,,CHN,China,Eastern Asia,Fujian,,,No,No,No,,,,,,,2000,1.0,1.0,2000,1.0,1.0,22.0,29.0,,,29.0,,,,,,,56.51429055927763,2005-02-09,2023-09-25
2000-0006-CHN,No,tec-mis-fir-fir,Technological,Miscellaneous accident,Fire (Miscellaneous),Fire (Miscellaneous),,Hotel,CHN,China,Eastern Asia,Xiangtan (Hunan Province),,,No,No,No,,,,,,,2000,1.0,9.0,2000,1.0,9.0,12.0,18.0,,,18.0,,,,,,,56.51429055927763,2003-07-01,2023-09-25
2000-0009-IRN,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,IRN,Iran (Islamic Republic of),Southern Asia,Gilan province,,Fire,No,No,No,,,Kph,,,,2000,1.0,18.0,2000,1.0,18.0,3.0,,,5500.0,5500.0,,,,,,,56.51429055927763,2003-07-01,2023-09-25
2000-0010-IDN,No,tec-tra-roa-roa,Technological,Transport,Road,Road,,,IDN,Indonesia,South-eastern Asia,Woosobo (Java),,,No,No,No,,,,,,,2000,1.0,5.0,2000,1.0,5.0,13.0,22.0,,,22.0,,,,,,,56.51429055927763,2003-07-01,2023-09-25
2000-0011-IDN,No,tec-tra-roa-roa,Technological,Transport,Road,Road,,,IDN,Indonesia,South-eastern Asia,Java,,,No,No,No,,,,,,,2000,1.0,3.0,2000,1.0,3.0,13.0,,,,,,,,,,,56.51429055927763,2003-07-01,2023-09-25
2000-0020-IND,No,nat-met-ext-col,Natural,Meteorological,Extreme temperature,Cold wave,,,IND,India,Southern Asia,"Bihar, Uttar Pradesh, West Bengal provinces",,,No,No,No,,,°C,,,,2000,1.0,,2000,1.0,,275.0,,,,,,,,,,,56.51429055927763,2003-07-01,2023-09-25
2000-0023-BGD,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp0009khm,,BGD,Bangladesh,Southern Asia,"Maheshkhali area (Cox's Bazar district, Chittagong province)",,,No,No,No,,,Moment Magnitude,21.431,91.762,,2000,1.0,2.0,2000,1.0,2.0,,,1000.0,,1000.0,,,,,,,56.51429055927763,2011-04-07,2023-09-25
2000-0026-CHN,No,tec-tra-roa-roa,Technological,Transport,Road,Road,,,CHN,China,Eastern Asia,Shunde,,,No,No,No,,,,,,,2000,1.0,28.0,2000,1.0,28.0,21.0,,,,,,,,,,,56.51429055927763,2003-07-01,2023-09-25
2000-0027-IND,No,tec-tra-roa-roa,Technological,Transport,Road,Road,,,IND,India,Southern Asia,Etat du Penjab,,,No,No,No,,,,,,,2000,1.0,30.0,2000,1.0,30.0,18.0,,,,,,,,,,,56.51429055927763,2003-07-01,2023-09-25
2000-0030-IND,No,tec-tra-rai-rai,Technological,Transport,Rail,Rail,,,IND,India,Southern Asia,Bihar State,,,No,No,No,,,,,,,2000,1.0,9.0,2000,1.0,9.0,10.0,,,,,,,,,,,56.51429055927763,2003-07-01,2023-09-25
2000-0033-CHN,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp0009m4u,,CHN,China,Eastern Asia,"Yongren Xian, Yao'an Xian, Nanhua Xian, Dayao Xian areas (Chuxiong Yi district, Yunnan Sheng province), Xiangyun Xian area (Dali Bai district, Yunnan Sheng province)",,,Yes,No,No,765.0,,Moment Magnitude,25.607,101.063,,2000,1.0,14.0,2000,1.0,14.0,7.0,2528.0,1760000.0,92479.0,1855007.0,,,,,73500.0,130056.0,56.51429055927763,2003-09-09,2023-09-25
2000-0034-CHN,No,tec-ind-col-col,Technological,Industrial accident,Collapse (Industrial),Collapse (Industrial),,Coal Mine,CHN,China,Eastern Asia,Xuzhou (Jiangsu Province),Flooding,,No,No,No,,,m3,,,,2000,1.0,11.0,2000,1.0,11.0,22.0,,,,,,,,,,,56.51429055927763,2005-02-08,2023-09-25
2000-0036-CHN,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp0009mq6,,CHN,China,Eastern Asia,"Mile Xian area (Honghe Hani and Yi district, Yunnan Sheng province), Qiubei Xian area (Wenshan Zhuang and Miao district, Yunnan Sheng province)",,,No,No,No,,,Moment Magnitude,24.263,103.797,,2000,1.0,26.0,2000,1.0,26.0,1.0,2.0,10300.0,,10302.0,,,,,483.0,855.0,56.51429055927763,2010-03-04,2023-09-25
2000-0038-PHL,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,PHL,Philippines,South-eastern Asia,"Agusan del Sur, Agusan del Norte, Surigao del Sur districts (Region XIII province), Davao Oriental, Davao del Norte, Compostela districts (Region XI province)",Brief torrential rain,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2000,1.0,28.0,2000,2.0,1.0,50.0,,153885.0,,153885.0,,,,,4080.0,7219.0,56.51429055927763,2004-10-27,2023-09-25
2000-0040-PAK,No,tec-tra-roa-roa,Technological,Transport,Road,Road,,,PAK,Pakistan,Southern Asia,Nord-Ouest,,,No,No,No,,,,,,,2000,2.0,2.0,2000,2.0,2.0,11.0,30.0,,,30.0,,,,,,,56.51429055927763,2003-07-01,2023-09-25
